source_id,slug,repository,branch,file_path,field,currently_published_value,resolved_value,upstream_repository,upstream_repo_public,upstream_release_status,live_verification,review_decision,decision_rationale
S01,synlogic,mcpmark-eval-1031/LJT-Homepage,master,_pages/about.md,code_link,"[Code](https://github.com/Vicent0205/SynLogic)",https://github.com/MiniMax-AI/SynLogic,MiniMax-AI/SynLogic,true,repo_exists_no_release,"MiniMax-AI/SynLogic README verified live: title matches SynLogic paper, BibTeX @misc{liu2025synlogic} eprint 2505.19641 primaryClass cs.AI; description marks it '[NeurIPS 2025] The official repo of SynLogic'",REPAIR,"Published link is stale: Vicent0205/SynLogic is served via a rename/transfer redirect to MiniMax-AI/SynLogic (branches -> main @ d8c527fd, identical to canonical HEAD). Canonical URL verified live; no code link is published for any other paper under this slot, so only the URL is corrected. Safe to apply live."
S02,synlogic,mcpmark-eval-1031/LJT-Homepage,master,_publications/2025-06-08-synlogic.md,codeurl,https://github.com/Vicent0205/SynLogic,https://github.com/MiniMax-AI/SynLogic,MiniMax-AI/SynLogic,true,repo_exists_no_release,"MiniMax-AI/SynLogic README verified live: matches SynLogic title and BibTeX liu2025synlogic (eprint 2505.19641); dataset at huggingface.co/datasets/MiniMaxAI/SynLogic",REPAIR,"codeurl front-matter is the stale redirected Vicent0205/SynLogic link; corrected to the canonical repo so codeurl and the [Code] link in _pages/about.md stay consistent. Safe to apply live."
S03,vlm-chart,mcpmark-eval-1031/LJT-Homepage,master,_pages/about.md,code_link,"[Code](https://github.com/Vicent0205/Vision4Chart)",https://github.com/hkust-nlp/Vision4Chart,hkust-nlp/Vision4Chart,true,repo_exists_no_release,"hkust-nlp/Vision4Chart README verified live: 'The official repo of \"On the Perception Bottleneck of VLMs for Chart Understanding\"', BibTeX @misc{liu2025perceptionbottleneckvlmschart} eprint 2503.18435 primaryClass cs.CV; dataset at huggingface.co/datasets/Junteng/Vision4Chart",REPAIR,"Published link is dead: Vicent0205/Vision4Chart returns 404 (no repo, no rename redirect). Canonical repo for the exact title verified live, so link repaired to it. Safe to apply live."
S04,vlm-chart,mcpmark-eval-1031/LJT-Homepage,master,_publications/2025-06-08-vlm-chart.md,codeurl,https://github.com/Vicent0205/Vision4Chart,https://github.com/hkust-nlp/Vision4Chart,hkust-nlp/Vision4Chart,true,repo_exists_no_release,"hkust-nlp/Vision4Chart verified live: exact-title match in repo description and README, BibTeX liu2025perceptionbottleneckvlmschart (eprint 2503.18435)",REPAIR,"codeurl front-matter is the dead Vicent0205/Vision4Chart link (404); replaced with the verified canonical repo. Safe to apply live."
S05,universal-truthfulness-hyperplane,mcpmark-eval-1031/LJT-Homepage,master,_pages/about.md,code_link,"[Code](https://github.com/Vicent0205/Universal_Truthfulness_Hyperplane)",https://github.com/hkust-nlp/Universal_Truthfulness_Hyperplane,hkust-nlp/Universal_Truthfulness_Hyperplane,true,repo_exists_no_release,"hkust-nlp/Universal_Truthfulness_Hyperplane README verified live: 'Our paper is accepted by EMNLP 2024!', arXiv 2407.08582, BibTeX @article{liu2024universal}",REPAIR,"Published link is stale: Vicent0205/Universal_Truthfulness_Hyperplane is served via a rename/transfer redirect to hkust-nlp/Universal_Truthfulness_Hyperplane (main @ f5095130). Canonical verified live; only the URL corrected. Safe to apply live."
S06,universal-truthfulness-hyperplane,mcpmark-eval-1031/LJT-Homepage,master,_publications/2024-12-01-universal-truthfulness-hyperplane.md,codeurl,https://github.com/Vicent0205/Universal_Truthfulness_Hyperplane,https://github.com/hkust-nlp/Universal_Truthfulness_Hyperplane,hkust-nlp/Universal_Truthfulness_Hyperplane,true,repo_exists_no_release,"hkust-nlp/Universal_Truthfulness_Hyperplane verified live: matches paper title, EMNLP 2024, arXiv 2407.08582, BibTeX liu2024universal",REPAIR,"codeurl front-matter holds the stale redirected link; corrected to canonical repo so it matches the [Code] link in _pages/about.md. Safe to apply live."
S07,in-context-sharpness-alerts,mcpmark-eval-1031/LJT-Homepage,master,_pages/about.md,code_link,none published (no [Code] link in entry 4),keep - no code link published,hkust-nlp/Activation_Decoding,true,repo_exists_no_release,"hkust-nlp/Activation_Decoding README verified live: matches In-Context Sharpness paper, arXiv 2403.01548, BibTeX chen2024incontext; repo has 0 release tags (/tags -> [])",CONFIRM_NONE,"No code link is published for this paper, so there is nothing to repair and no live-verified URL may be added; the verified upstream repo has 0 releases and thus does not qualify as 'released'. Homepage left unchanged. Safe (no-op)."
S08,in-context-sharpness-alerts,mcpmark-eval-1031/LJT-Homepage,master,_publications/2024-07-01-in-context-sharpness-alerts.md,codeurl,no codeurl front-matter,keep - no code link published,hkust-nlp/Activation_Decoding,true,repo_exists_no_release,"hkust-nlp/Activation_Decoding verified live (title/arXiv 2403.01548/bibtex chen2024incontext); 0 release tags",CONFIRM_NONE,"No codeurl is published and none is invented; only a released or homepage-published URL would be added. No-op, safe."
S09,c-eval,mcpmark-eval-1031/LJT-Homepage,master,_pages/about.md,code_link,none published (no [Code] link in entry 5),keep - no code link published,hkust-nlp/ceval,true,repo_exists_no_release,"hkust-nlp/ceval README verified live: C-Eval accepted to NeurIPS 2023, arXiv 2305.08322, BibTeX huang2023ceval, dataset ceval/ceval-exam; 0 release tags",CONFIRM_NONE,"No code link published for C-Eval; verified upstream repo has 0 release tags, so no 'released' qualifier and no URL invented. No-op, safe."
S10,c-eval,mcpmark-eval-1031/LJT-Homepage,master,_publications/2023-12-01-c-eval.md,codeurl,no codeurl front-matter,keep - no code link published,hkust-nlp/ceval,true,repo_exists_no_release,"hkust-nlp/ceval verified live: NeurIPS 2023, arXiv 2305.08322, BibTeX huang2023ceval; 0 release tags",CONFIRM_NONE,"No codeurl published and none invented. No-op, safe."
S11,composing-modules,mcpmark-eval-1031/LJT-Homepage,master,_pages/about.md,code_link,none published (no [Code] link in entry 6),keep - no code link published,hkust-nlp/PEM_composition,true,repo_exists_no_release,"hkust-nlp/PEM_composition README verified live: accepted to NeurIPS 2023, arXiv 2306.14870, BibTeX zhang2023composing, dataset jinghan23/DatasetofPEMCompostition; 0 release tags",CONFIRM_NONE,"No code link published for this paper; verified upstream repo has 0 release tags, so no 'released' qualifier and no URL invented. No-op, safe."
S12,composing-modules,mcpmark-eval-1031/LJT-Homepage,master,_publications/2023-12-01-composing-modules.md,codeurl,no codeurl front-matter,keep - no code link published,hkust-nlp/PEM_composition,true,repo_exists_no_release,"hkust-nlp/PEM_composition verified live: NeurIPS 2023, arXiv 2306.14870, BibTeX zhang2023composing; 0 release tags",CONFIRM_NONE,"No codeurl published and none invented. No-op, safe."
